Designator,Footprint,Quantity,Value,LCSC Part #
9042_16R1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,10nF,
"C2, C3, C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,0.1uF,
C5,CP_Radial_D5.0mm_P2.00mm,1,10uF,
"D00, D01, D02, D03, D10, D11, D12, D13, D20, D21, D22, D23, D30, D31, D32, D33, D40, D41, D42, D43",LED_D5.0mm,20,LED,
D4,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7",TO-92_Inline,7,2SC1815,
"R1, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10k,
"R2, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.2k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
"RN1, RN2",R_Array_Convex_4x0603,2,330,
"RN3, RN4",R_Array_Convex_4x0603,2,4.7k,
RN5,R_Array_SIP9,1,100k,
SW6,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"SW_DOWN1, SW_FIRE1, SW_LEFT1, SW_RIGHT1, SW_UP1",SW_PUSH_6mm,5,SW_Push,
U1,DIP-8_W7.62mm,1,ATtiny85-20P,
"U2, U3",DIP-16_W7.62mm,2,74HC595,
"U4, U5",D1X8K,2,D168K,
